userID,gender,age,flight type,desitination,phoeType,environment,recommended product,rec score,rec rank
1,M,48,Business,Gatwick,Iphone S7,summer,m2,1,1
1,M,48,Business,Gatwick,Iphone S7,summer,m1,0.999997,2
1,M,48,Business,Gatwick,Iphone S7,summer,m3,0.999976,3
1,M,48,Business,Gatwick,Iphone S7,summer,cbwqe7038,0.238016,4
1,M,48,Business,Gatwick,Iphone S7,summer,cbwqe23629,0.119807,5
1,M,56,Business,Gatwick,Iphone S7,summer,m2,1,1
1,M,56,Business,Gatwick,Iphone S7,summer,m1,0.999998,2
1,M,56,Business,Gatwick,Iphone S7,summer,m3,0.999983,3
1,M,56,Business,Gatwick,Iphone S7,summer,cbwqe7038,0.16703,4
1,M,56,Business,Gatwick,Iphone S7,summer,cbwqe23629,0.0760512,5
1,M,44,Business,Gatwick,Iphone S7,summer,m2,1,1
1,M,44,Business,Gatwick,Iphone S7,summer,m1,0.999996,2
1,M,44,Business,Gatwick,Iphone S7,summer,m3,0.999972,3
1,M,44,Business,Gatwick,Iphone S7,summer,cbwqe7038,0.280503,4
1,M,44,Business,Gatwick,Iphone S7,summer,cbwqe23629,0.148962,5
1,M,43,Business,Gatwick,Iphone S7,summer,m2,1,1
1,M,43,Business,Gatwick,Iphone S7,summer,m1,0.999996,2
1,M,43,Business,Gatwick,Iphone S7,summer,m3,0.999971,3
1,M,43,Business,Gatwick,Iphone S7,summer,cbwqe7038,0.29182,4
1,M,43,Business,Gatwick,Iphone S7,summer,cbwqe23629,0.157109,5
1,M,29,Business,Gatwick,Iphone S7,summer,m2,1,1
1,M,29,Business,Gatwick,Iphone S7,summer,m1,0.999992,2
1,M,29,Business,Gatwick,Iphone S7,summer,m3,0.999946,3
1,M,29,Business,Gatwick,Iphone S7,summer,cbwqe7038,0.472305,4
1,M,29,Business,Gatwick,Iphone S7,summer,cbwqe23629,0.310097,5
1,M,59,Business,Gatwick,Iphone S7,summer,m2,1,1
1,M,59,Business,Gatwick,Iphone S7,summer,m1,0.999998,2
1,M,59,Business,Gatwick,Iphone S7,summer,m3,0.999985,3
1,M,59,Business,Gatwick,Iphone S7,summer,cbwqe7038,0.145164,4
1,M,59,Business,Gatwick,Iphone S7,summer,cbwqe23629,0.0638123,5
1,M,41,Business,Gatwick,Iphone S7,summer,m2,1,1
1,M,41,Business,Gatwick,Iphone S7,summer,m1,0.999995,2
1,M,41,Business,Gatwick,Iphone S7,summer,m3,0.999968,3
